RU;26;1371;TransparentCalls;0.95;56;87;43
US;78;1716;E-Voice;0.89;845;27;7
GB;21;1949;TransparentCalls;0.95;89;43;56
FR;12;1823;TransparentCalls;0.93;203;44;18
BL;91;1840;E-Voice;0.61;951;78;14
AT;44;171;TransparentCalls;0.64;504;43;30
BG;39;164;E-Voice;0.76;45;34;4
DK;11;1939;JustPhone;0.73;124;33;48
CA;57;797;JustPhone;0.65;748;18;3
ES;83;668;E-Voice;0.81;21;43;42
CH;50;1635;JustPhone;0.84;383;76;25
TR;40;157;TransparentCalls;0.75;50;35;56
PE;47;145;JustPhone;0.73;579;52;46
NZ;53;357;JustPhone;0.74;523;9;15
MC;25;733;E-Voice;0.90;433;25;26
